"Year","HDI","Solar","Biofuel","Wind","Coal","Nuclear","Other_renewables","Gas","Oil","Hydropower"
1990,"High",0.032,0,0.082,6676.559,2075.384,37.388,7906.73,10212.775,1014.402
1990,"Low",0.006,0,0.09,7525.099,18.93,3.414,668.267,2935.109,650.403
1990,"Medium",0.003,68.095,0.003,1685.364,37.841,42.847,1744.505,4824.584,1035.965
1990,"Very high",1.039,17.743,9.913,8941.824,3235.098,229.827,7752.637,16651.062,2748.982
1991,"High",0.037,0,0.087,5394.308,1976.719,38.85,7005.287,10028.348,1014.55
1991,"Low",0.006,0,0.339,7895.298,16.204,3.363,657.873,2932.163,652.295
1991,"Medium",0.006,70.99,0.003,1824.288,42.687,44.905,1610.693,4006.263,1119.777
1991,"Very high",1.355,20.556,10.921,8720.157,3419.398,240.497,7995.033,16505.172,2735.888
1992,"High",0.053,0,0.338,4988.897,1004.403,20.359,6990.524,8401.948,822.074
1992,"Low",0.008,0,0.611,8282.264,19.323,3.662,702.475,3231.41,679.289
1992,"Medium",0.008,69.464,0.003,1846.499,42.861,48.992,1610.019,4140.635,1127.893
1992,"Very high",1.233,23.497,12.194,9552.279,4654.627,277.697,9179.863,19120.822,2931.056
1993,"High",0.062,0,0.538,4610.434,1022.943,21.531,6961.539,7706.486,878.188
1993,"Low",0.011,0,0.852,8781.629,22.882,4.058,753.261,3534.542,746.058
1993,"Medium",0.011,72.437,0.003,1820.219,36.318,49.56,1795.375,4912.601,1242.856
1993,"Very high",1.465,27.734,14.421,9626.622,4846.351,288.863,9521.321,19231.241,3074.516
1994,"High",0.034,0,0.692,3452.77,763.818,11.731,5431.229,6379.327,763.236
1994,"Low",0.014,0,1.597,9247.235,56.359,2.334,556.26,3223.608,795.406
1994,"Medium",0.014,77.263,0.014,2525.398,231.165,56.407,2952.63,5820.457,1328.457
1994,"Very high",1.606,31.933,17.442,9778.055,5000.492,307.956,10220.385,20786.324,3068.847
1995,"High",0.006,0,0.141,3238.324,681.06,11.441,5458.942,5748.746,717.536
1995,"Low",0.022,0,3.091,9452.912,58.248,9.938,588.904,3476.403,855.366
1995,"Medium",0.014,79.893,0.019,2522.064,257.96,59.608,3295.922,6208.553,1417.11
1995,"Very high",1.74,34.918,19.655,10105.659,5354.894,313.403,10839.572,21797.64,3356.114
1996,"High",0.011,0,0.185,3410.177,740.723,11.923,5808.931,5801.747,715.351
1996,"Low",0.017,0,2.44,1771.116,24.245,2.1,414.148,1343.68,301.553
1996,"Medium",0.042,83.174,0.288,10393.136,322.454,68.121,3552.047,8602.04,1981.875
1996,"Very high",1.888,26.76,22.544,10366.584,5486.719,322.454,11386.946,22359.575,3410.721
1997,"High",0.003,0,0.256,2906.123,525.47,11.985,5443.226,4868.249,735.883
1997,"Low",0.017,0,2.744,1858.867,29.229,2.727,432.199,1436.326,286.436
1997,"Medium",0.048,80.362,0.602,10238.177,334.51,76.115,3417.099,8831.028,1998.931
1997,"Very high",2.035,34.196,29.508,10849.301,5645.242,343.524,11733.263,23915.559,3519.453
1998,"High",0.002,0,0.557,2699.707,515.149,10.842,5651.698,4919.524,746.867
1998,"Low",0.017,0,2.997,1867.42,32.679,3.59,461.253,1444.416,306.618
1998,"Medium",0.058,78.883,1.068,10205.333,320.996,82.965,3492.849,8854.272,2092.189
1998,"Very high",2.233,36.941,39.354,10891.616,5778.314,357.782,11765.158,23966.944,3432.039
1999,"High",0.003,0,0.906,2629.785,556.734,12.141,5778.248,4575.243,722.404
1999,"Low",0.017,0,4.017,1848.651,35.576,4.684,494.927,1556.888,292.813
1999,"Medium",0.066,79.064,1.576,10456.597,316.194,91.513,3616.814,8934.79,2104.505
1999,"Very high",2.46,38.706,52.08,10844.497,5991.133,367.675,12097.517,24814.2,3481.259
2000,"High",0.023,0,0.65,2371.303,577.334,29.875,6252.388,5258.974,840.416
2000,"Low",0.02,0.288,4.572,1970.442,46.428,7.258,524.176,1619.575,266.71
2000,"Medium",0.094,67.689,2.088,10600.078,314.261,79.973,3997.124,8369.482,2128.801
2000,"Very high",2.957,46.354,79.251,11722.409,6118.626,379.739,12644.171,25199.636,3499.803
2001,"High",0.028,0,1.014,3039.535,818.206,31.436,7214.076,5638.349,939.898
2001,"Low",0.031,0.333,6.322,1995.97,57.884,8.117,545.692,1630.069,254.366
2001,"Medium",0.127,64.138,2.853,10376.823,117.206,82.786,3411.717,8191.718,2109.373
2001,"Very high",3.65,49.874,94.982,11664.992,6227.001,385.624,12494.84,25283.076,3209.902
2002,"High",0.034,0.918,1.391,2438.222,841.691,30.395,7248.533,5422.841,873.285
2002,"Low",0.036,0.311,5.717,2045.154,58.262,8.501,577.749,1625.445,245.984
2002,"Medium",0.182,72.82,3.796,11221.528,139.713,86.047,3670.898,8537.754,2215.171
2002,"Very high",4.549,61.038,131.539,12430.846,6238.357,418.147,12883.123,25471.125,3248.598
2003,"High",0.033,0.905,0.546,2461.835,861.886,29.281,7696.027,5527.746,793.608
2003,"Low",0.046,0.335,7.096,2147.748,54.613,10.226,654.557,1638.845,257.841
2003,"Medium",0.232,70.41,4.475,13230.713,188.97,90.051,3632.311,8791.914,2264.015
2003,"Very high",5.794,82.047,158.266,12800.847,5979.72,440.306,13025.248,25981.635,3193.26
2004,"High",0.04,0.924,0.555,2437.655,812.361,32.575,7902.109,5735.865,1060.558
2004,"Low",0.054,0.384,14.145,2286.546,64.077,11.886,736.86,1675.527,345.418
2004,"Medium",0.273,82.297,5.983,15221.385,204.231,94.654,3638.677,9307.658,2350.3
2004,"Very high",7.629,105.169,208.498,12835.091,6282.159,472.155,13663.855,26762.721,3207.203
2005,"High",0.042,84.028,0.701,2517.878,827.594,69.164,8246.196,6860.905,2009.618
2005,"Low",0.058,0.444,16.115,2507.77,54.51,10.854,801.993,1692.764,346.641
2005,"Medium",0.305,8.77,7.727,17288.503,173.176,67.928,3703.899,8432.566,1578.147
2005,"Very high",10.711,135.086,254.123,12960.623,6277.807,511.459,13890.292,26986.481,3224.132
2006,"High",0.048,78.432,1.68,2892.891,792.282,67.443,9627.686,8344.376,2130.57
2006,"Low",0.033,0.508,24.962,2609.265,53.9,14.934,835.601,1794.454,383.882
2006,"Medium",0.409,11.387,12.374,18599.158,173.392,73.773,2530.134,7184.511,1531.296
2006,"Very high",14.687,199.463,314.036,13042.123,6360.079,541.906,14339.068,27149.701,3359.533
2007,"High",0.151,110.084,4.147,3159.155,790.825,84.269,10431.045,9247.531,2249.144
2007,"Low",0.025,0,0.004,73.516,6.157,0,491.367,271.876,86.137
