"Year","HDI","Coal","Oil","Gas","Hydropower","Nuclear","Wind","Other_renewables","Solar","Biofuel"
1990,"High",8208.048,6135.267,2759.501,1368.972,249.45,0.009,45.934,0.009,68.095
1990,"Medium",1316.107,1086.737,302.103,250.657,18.93,0.084,0.104,0,0
1990,"Very high",15513.878,27861.779,15243.269,3863.094,5197.168,9.995,267.485,1.071,17.743
1991,"High",8413.244,6279.699,2803.745,1416.476,249.886,0.028,47.671,0.012,70.99
1991,"Medium",1396.629,1056.598,303.372,267.809,16.204,0.314,0.264,0,0
1991,"Very high",15020.752,27784.02,15704.252,3922.739,5458.593,11.008,279.68,1.392,20.556
1992,"High",8726.103,6496.209,2712.886,1447.967,246.433,0.368,51.992,0.016,69.464
1992,"Medium",1476.572,1194.84,325.71,269.401,19.323,0.246,0.332,0,0
1992,"Very high",14598.301,28195.342,15860.89,3898.048,5507.15,12.532,298.403,1.286,23.497
1993,"High",9103.318,6593.098,2529.266,1577.689,248.543,0.592,52.543,0.022,72.437
1993,"Medium",1529.733,1300.837,353.188,277.441,18.426,0.263,0.7,0,0
1993,"Very high",14315.227,27823.071,16264.107,4116.711,5706.57,14.959,310.822,1.527,27.734
1994,"High",9479.611,6821.985,2637.043,1654.508,271.098,1.08,57.324,0.028,77.263
1994,"Medium",1578.801,1417.142,376.876,304.65,15.37,0.531,1.056,0,0
1994,"Very high",14052.507,28332.538,16270.497,4031.828,5799.575,18.134,320.065,1.64,31.933
1995,"High",9628.457,7141.874,2812.946,1782.171,293.386,1.731,67.124,0.033,79.893
1995,"Medium",1680.041,1518.623,408.704,296.583,22.601,1.379,1.566,0.003,0
1995,"Very high",14010.461,28570.845,16961.69,4267.372,6036.175,19.796,325.7,1.746,34.918
1996,"High",9897.43,7455.403,3059.678,1844.799,322.208,0.285,67.401,0.042,83.174
1996,"Medium",1730.888,1610.557,442.158,286.223,24.245,2.44,2.1,0.017,0
1996,"Very high",14312.695,29041.082,17660.236,4278.478,6227.688,22.732,335.097,1.899,26.76
1997,"High",9787.815,7899.266,3077.349,1876.042,333.675,0.596,75.068,0.048,80.362
1997,"Medium",1807.188,1760.752,456.05,272.411,29.229,2.744,2.727,0.017,0
1997,"Very high",14257.465,29391.144,17492.388,4392.25,6171.547,29.77,356.556,2.038,34.196
1998,"High",9702.148,8025.757,3152.257,1940.535,320.75,1.053,82.059,0.058,78.883
1998,"Medium",1867.42,1713.271,489.278,323.833,32.679,2.997,3.59,0.017,0
1998,"Very high",14094.508,29446.128,17729.423,4313.345,6293.709,39.926,369.53,2.235,36.941
1999,"High",9989.861,8228.208,3334.245,1981.207,316.194,1.519,90.969,0.066,79.064
1999,"Medium",1848.651,1752.534,525.137,302.699,35.576,4.017,4.684,0.017,0
1999,"Very high",13941.018,29900.379,18128.124,4317.075,6547.867,53.043,380.36,2.463,38.706
2000,"High",10196.004,8595.472,4004.083,2105.028,337.097,2.048,97.021,0.113,67.689
2000,"Medium",1970.442,1880.925,554.101,275.589,46.428,4.572,7.258,0.02,0.288
2000,"Very high",14497.786,29971.27,18859.675,4355.113,6673.124,79.941,392.566,2.961,46.354
2001,"High",10674.031,8678.316,4271.095,2144.494,351.495,2.775,99.352,0.151,64.138
2001,"Medium",1995.97,1931.315,571.912,264.58,57.884,6.322,8.117,0.031,0.333
2001,"Very high",14407.319,30133.581,18823.318,4104.465,6810.918,96.074,400.494,3.654,49.874
2002,"High",11529.505,8924.27,4562.039,2209.89,380.282,3.26,102.121,0.211,73.738
2002,"Medium",2084.626,1996.658,600.698,260.796,58.262,6.249,8.501,0.036,0.311
2002,"Very high",14521.619,30136.237,19217.566,4112.352,6839.479,132.934,432.468,4.554,61.038
2003,"High",13505.935,9322.912,4718.909,2239.174,439.359,3.9,108.561,0.265,71.315
2003,"Medium",2185.808,1993.467,669.884,274.726,54.613,7.649,10.226,0.046,0.335
2003,"Very high",14949.4,30623.761,19619.35,3994.824,6591.217,158.834,451.077,5.794,82.047
2004,"High",15473.527,10168.717,5078.178,2507.39,464.688,5.439,113.916,0.313,83.221
2004,"Medium",2328.647,2066.287,747.01,365.291,64.077,14.683,11.886,0.054,0.384
2004,"Very high",14978.503,31246.767,20116.313,4090.798,6834.063,209.059,485.468,7.629,105.169
2005,"High",17723.027,10407.802,5347.977,2692.158,467.492,7.422,126.095,0.347,92.798
2005,"Medium",2551.918,2077.354,820.02,362.4,54.51,16.67,10.854,0.058,0.444
2005,"Very high",14999.829,31487.56,20474.383,4103.98,6811.085,254.574,522.456,10.711,135.086
2006,"High",19350.213,10764.875,5712.49,2873.196,480.369,13.072,133.931,0.457,89.819
2006,"Medium",2654.157,2186.895,854.653,399.848,53.9,25.452,14.934,0.033,0.508
2006,"Very high",15139.067,31521.272,20765.346,4132.237,6845.384,314.528,549.191,14.687,199.463
2007,"High",21017.882,11181.544,6017.04,3059.81,501.393,19.56,153.54,0.513,124.085
2007,"Medium",2902.685,2311.557,930.853,426.353,53.523,31.777,19.664,0.182,0.525
2007,"Very high",15399.972,31492.623,21480.236,3995.178,6625.326,399.671,581.637,19.788,259.247
2008,"High",21442.425,11404.64,6307.278,3459.286,514.782,41.851,173.501,0.644,166.772
2008,"Medium",3138.49,2404.993,980.172,388.851,44.816,38.75,24.555,0.21,0.692
2008,"Very high",15278.59,30774.507,21851.015,4053.769,6553.005,499.043,604.09,32.265,356.22
2009,"High",22240.514,11567.797,6402.751,3398.565,496.459,81.155,198.261,1.017,185.336
